latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.99,-38.148,304.5,3.5,1.8,2019-11-08,0030,T,61,6.0NRT,292.4,31.9,N
-9.576,-35.928,336.8,2.3,1.5,2019-11-08,0030,T,100,6.0NRT,293,129.8,N
-9.577,-35.914,310.9,2.3,1.5,2019-11-08,0030,T,81,6.0NRT,292.6,31.7,N
-9.58,-35.934,322.4,2.3,1.5,2019-11-08,0030,T,100,6.0NRT,292.4,65.4,N
-9.564,-35.915,303.8,2.3,1.5,2019-11-08,0030,T,57,6.0NRT,292.4,16.7,N
-9.566,-35.936,311.1,2.3,1.5,2019-11-08,0030,T,82,6.0NRT,292.3,32.7,N
-9.003,-35.609,304.1,2.1,1.4,2019-11-08,0030,T,58,6.0NRT,288.7,21.4,N
-8.929,-35.645,301,2.1,1.4,2019-11-08,0030,T,35,6.0NRT,290.3,17.3,N
-7.903,-39.492,310.7,4.2,1.9,2019-11-08,0030,T,80,6.0NRT,294,57.2,N
-7.908,-39.529,308.3,4.2,1.9,2019-11-08,0030,T,73,6.0NRT,293.8,43.7,N
-7.9,-39.498,313.1,4.2,1.9,2019-11-08,0030,T,86,6.0NRT,293.9,72.3,N
-7.904,-39.535,305.5,4.2,1.9,2019-11-08,0030,T,63,6.0NRT,293.7,30.2,N
-6.986,-38.38,315,3.3,1.7,2019-11-08,0030,T,90,6.0NRT,293.7,56.1,N
-6.538,-35.193,309.2,1.8,1.3,2019-11-08,0030,T,69,6.0NRT,290.2,22.3,N
-6.955,-38.507,310.6,3.4,1.7,2019-11-08,0030,T,67,6.0NRT,292.3,38.4,N
-6.99,-38.386,315.6,3.3,1.7,2019-11-08,0030,T,92,6.0NRT,293.6,58.5,N
-6.542,-35.182,303.2,1.8,1.3,2019-11-08,0030,T,50,6.0NRT,289,13.6,N
-6.544,-35.198,300.9,1.8,1.3,2019-11-08,0030,T,25,6.0NRT,290.2,11.3,N
-6.706,-37.492,314.6,2.8,1.6,2019-11-08,0030,T,89,6.0NRT,294.4,42.8,N
-6.689,-37.47,308.5,2.8,1.6,2019-11-08,0030,T,75,6.0NRT,294,23.5,N
-5.632,-37.635,320.9,2.7,1.6,2019-11-08,0030,T,100,6.0NRT,295.6,70.5,N
-25.795,-61.326,307.1,4.3,1.9,2019-11-08,0205,T,70,6.0NRT,291,52.7,N
-25.79,-61.288,301.8,4.2,1.9,2019-11-08,0205,T,44,6.0NRT,291.1,30.4,N
-25.793,-61.331,305.2,4.3,1.9,2019-11-08,0205,T,63,6.0NRT,291,47.2,N
-22.81,-49.351,316.6,1.1,1,2019-11-08,0205,T,93,6.0NRT,279.2,19.6,N
-21.655,-48.576,304.3,1.2,1.1,2019-11-08,0205,T,59,6.0NRT,277.3,9.3,N
-22.255,-61.155,315.9,3.8,1.8,2019-11-08,0205,T,89,6.0NRT,286.4,107.3,N
-22.249,-61.161,311.9,3.8,1.8,2019-11-08,0205,T,77,6.0NRT,286.5,86.1,N
-20.331,-48.82,306.7,1.2,1.1,2019-11-08,0205,T,69,6.0NRT,281.8,10.6,N
-18.102,-42.12,304.4,3.8,1.8,2019-11-08,0205,T,59,6.0NRT,291.7,30.6,N
-17.937,-42.014,302.1,3.9,1.8,2019-11-08,0205,T,47,6.0NRT,291.1,25.5,N
-17.948,-42.018,305.3,3.9,1.8,2019-11-08,0205,T,64,6.0NRT,291.1,39.3,N
-16.868,-43.589,304.3,3.1,1.7,2019-11-08,0205,T,59,6.0NRT,293.6,23.4,N
-16.371,-42.55,305.8,3.8,1.8,2019-11-08,0205,T,66,6.0NRT,291.8,43.7,N
-16.365,-42.559,304.9,3.8,1.8,2019-11-08,0205,T,62,6.0NRT,292,41.5,N
-13.975,-46.461,314.6,2.2,1.4,2019-11-08,0205,T,89,6.0NRT,293.3,35.7,N
-13.973,-46.448,306.6,2.2,1.4,2019-11-08,0205,T,69,6.0NRT,292.7,20.2,N
-13.977,-46.468,307.5,2.2,1.4,2019-11-08,0205,T,72,6.0NRT,293.2,21.8,N
-13.348,-44.606,319.1,3.1,1.7,2019-11-08,0205,T,98,6.0NRT,295,85.4,N
-12.949,-43.919,311.9,3.6,1.8,2019-11-08,0205,T,84,6.0NRT,293.1,65.3,N
-25.336,-63.148,311.3,4.7,2,2019-11-08,0345,T,82,6.0NRT,287.2,94,N
-25.338,-63.155,312,4.7,2,2019-11-08,0345,T,84,6.0NRT,287.2,100,N
-22.481,-68.887,300.2,2.2,1.4,2019-11-08,0345,T,22,6.0NRT,278.8,23.5,N
-12.866,-49.253,302.5,1.4,1.2,2019-11-08,0210,T,50,6.0NRT,284.5,8,N
-12.657,-49.575,302.6,1.4,1.2,2019-11-08,0210,T,50,6.0NRT,290.9,5.6,N
-12.659,-49.587,307.4,1.4,1.2,2019-11-08,0210,T,71,6.0NRT,291.3,10.1,N
-12.662,-49.58,311.4,1.4,1.2,2019-11-08,0210,T,82,6.0NRT,291.5,14.1,N
-12.376,-48.278,304.1,1.7,1.3,2019-11-08,0210,T,59,6.0NRT,293,8,N
-12.379,-48.294,303.1,1.7,1.3,2019-11-08,0210,T,53,6.0NRT,292.8,7,N
-12.507,-49.587,305.6,1.4,1.2,2019-11-08,0210,T,65,6.0NRT,293.1,8,N
-12.365,-49.274,304.5,1.4,1.2,2019-11-08,0210,T,60,6.0NRT,288.4,9.1,N
-12.257,-49.685,304.7,1.4,1.2,2019-11-08,0210,T,61,6.0NRT,291.6,7.1,N
-12.642,-52.532,318.4,1,1,2019-11-08,0210,T,97,6.0NRT,275.9,17.4,N
-12.633,-52.534,303.4,1,1,2019-11-08,0210,T,55,6.0NRT,277.8,6.5,N
-12.421,-54.336,300.3,1,1,2019-11-08,0210,T,25,6.0NRT,282.7,3.8,N
-12.418,-54.793,308.4,1.1,1,2019-11-08,0210,T,75,6.0NRT,280.1,9.9,N
-12.308,-54.121,314.7,1,1,2019-11-08,0210,T,90,6.0NRT,282.3,13.3,N
-11.266,-49.449,302.5,1.5,1.2,2019-11-08,0210,T,34,6.0NRT,281.7,8.5,N
-11.268,-49.463,304.3,1.5,1.2,2019-11-08,0210,T,35,6.0NRT,282.5,9.8,N
-11.263,-49.456,306,1.5,1.2,2019-11-08,0210,T,41,6.0NRT,282.2,11.5,N
-10.253,-49.538,306.6,1.5,1.2,2019-11-08,0210,T,69,6.0NRT,286.4,12.7,N
-9.857,-47.836,314.7,2,1.4,2019-11-08,0210,T,90,6.0NRT,292.9,32.8,N
-9.67,-49.187,302.9,1.6,1.3,2019-11-08,0210,T,52,6.0NRT,292.8,6.9,N
-10.114,-52.298,305,1.1,1,2019-11-08,0210,T,63,6.0NRT,293,5.1,N
-7.872,-44.272,306.4,4.2,1.9,2019-11-08,0210,T,68,6.0NRT,291.2,48.6,N
-7.131,-46.755,303.2,2.8,1.6,2019-11-08,0210,T,54,6.0NRT,292.2,18.1,N
-6.002,-44.641,321.2,4.3,1.9,2019-11-08,0210,T,100,6.0NRT,289.5,148.4,N
-6.008,-44.679,301.5,4.2,1.9,2019-11-08,0210,T,38,6.0NRT,289.3,26.4,N
-5.985,-44.644,311,4.3,1.9,2019-11-08,0210,T,81,6.0NRT,289.6,76.6,N
-5.993,-44.611,300.1,4.3,1.9,2019-11-08,0210,T,14,6.0NRT,287.5,23.4,N
-5.999,-44.649,327.1,4.3,1.9,2019-11-08,0210,T,100,6.0NRT,290.1,201.7,N
-5.664,-46.473,303.5,3.1,1.7,2019-11-08,0210,T,56,6.0NRT,291.3,20.5,N
-5.649,-46.475,303.1,3.1,1.7,2019-11-08,0210,T,53,6.0NRT,291.1,19.4,N
-5.65,-46.48,305.7,3.1,1.7,2019-11-08,0210,T,65,6.0NRT,291.1,27.4,N
-5.412,-45.788,305.2,3.6,1.8,2019-11-08,0210,T,30,6.0NRT,288.1,41.3,N
-5.403,-45.796,301.3,3.6,1.8,2019-11-08,0210,T,18,6.0NRT,288.4,29.6,N
-4.945,-45.629,300.6,3.7,1.8,2019-11-08,0210,T,20,6.0NRT,288.9,28.7,N
-5.441,-49.029,311.6,2,1.4,2019-11-08,0210,T,83,6.0NRT,291.6,26.5,N
-5.052,-46.838,305.5,3,1.6,2019-11-08,0210,T,65,6.0NRT,290.9,25.4,N
-5.048,-46.819,304,3,1.6,2019-11-08,0210,T,58,6.0NRT,290.9,22.9,N
-5.052,-46.845,302.5,3,1.6,2019-11-08,0210,T,49,6.0NRT,290.8,18.1,N
-5.184,-50.645,327.4,1.5,1.2,2019-11-08,0210,T,100,6.0NRT,292.8,44.9,N
-5.179,-50.637,314.1,1.5,1.2,2019-11-08,0210,T,88,6.0NRT,292.1,20.6,N
-5.181,-50.651,316.3,1.5,1.2,2019-11-08,0210,T,93,6.0NRT,292.2,24.2,N
-5.16,-50.584,335,1.5,1.2,2019-11-08,0210,T,100,6.0NRT,289.8,66.4,N
-5.162,-50.598,311.1,1.5,1.2,2019-11-08,0210,T,82,6.0NRT,290.9,17.6,N
-4.558,-48.836,300.5,2.1,1.4,2019-11-08,0210,T,26,6.0NRT,286.9,7.5,N
-4.152,-47.596,302.9,2.7,1.6,2019-11-08,0210,T,42,6.0NRT,291,16.5,N
-4.288,-48.954,304,2.1,1.4,2019-11-08,0210,T,58,6.0NRT,290,14.4,N
-4.176,-48.736,300.6,2.2,1.4,2019-11-08,0210,T,30,6.0NRT,289.3,9.1,N
-3.959,-47.837,302.8,2.6,1.6,2019-11-08,0210,T,52,6.0NRT,290,16.3,N
-4.305,-50.769,307.4,1.5,1.2,2019-11-08,0210,T,71,6.0NRT,276.5,16,N
-3.992,-48.895,304,2.1,1.4,2019-11-08,0210,T,28,6.0NRT,291.7,12.1,N
-3.995,-48.915,303.8,2.1,1.4,2019-11-08,0210,T,21,6.0NRT,292,11.2,N
-3.992,-48.901,308,2.1,1.4,2019-11-08,0210,T,73,6.0NRT,291.9,21.4,N
-4.204,-50.635,300.7,1.6,1.2,2019-11-08,0210,T,32,6.0NRT,282.4,8.6,N
-4.225,-50.773,309.4,1.5,1.2,2019-11-08,0210,T,77,6.0NRT,279.5,18.8,N
-4.227,-50.787,304.6,1.5,1.2,2019-11-08,0210,T,61,6.0NRT,280.9,12.6,N
-3.754,-47.881,306.5,2.6,1.6,2019-11-08,0210,T,1,6.0NRT,285.8,32.1,N
-3.758,-47.905,308.8,2.6,1.5,2019-11-08,0210,T,45,6.0NRT,285.9,35.9,N
-3.766,-47.91,305.6,2.6,1.5,2019-11-08,0210,T,34,6.0NRT,287.2,27.4,N
-3.749,-47.888,311.5,2.6,1.6,2019-11-08,0210,T,55,6.0NRT,283.9,47.2,N
-3.263,-45.513,307.7,4.1,1.9,2019-11-08,0210,T,72,6.0NRT,288.8,55.9,N
-3.269,-45.55,302.1,4.1,1.9,2019-11-08,0210,T,47,6.0NRT,288.9,29.3,N
-4.126,-52.162,313.4,1.2,1.1,2019-11-08,0210,T,87,6.0NRT,282.2,17.3,N
-4.128,-52.173,309.1,1.2,1.1,2019-11-08,0210,T,77,6.0NRT,280.8,12.8,N
-4.126,-52.168,319.2,1.2,1.1,2019-11-08,0210,T,98,6.0NRT,281.6,23.8,N
-3.567,-49.03,303.3,2.1,1.4,2019-11-08,0210,T,54,6.0NRT,290.7,13.4,N
-3.737,-50.428,311.8,1.7,1.3,2019-11-08,0210,T,83,6.0NRT,287.2,21.3,N
-3.128,-46.816,304.4,3.2,1.7,2019-11-08,0210,T,60,6.0NRT,290.2,25.7,N
-3.48,-49.146,302,2.1,1.4,2019-11-08,0210,T,43,6.0NRT,288.4,11.6,N
-3.131,-46.821,302.5,3.2,1.7,2019-11-08,0210,T,50,6.0NRT,290.2,20.5,N
-3.146,-47.22,340.4,3,1.7,2019-11-08,0210,T,100,6.0NRT,290.9,212.4,N
-3.15,-47.247,322.5,3,1.6,2019-11-08,0210,T,100,6.0NRT,290.2,92.8,N
-3.127,-47.196,304.4,3,1.7,2019-11-08,0210,T,60,6.0NRT,290.1,22.8,N
-3.128,-47.202,304.4,3,1.7,2019-11-08,0210,T,46,6.0NRT,290.2,21.8,N
-3.559,-50.391,308.1,1.7,1.3,2019-11-08,0210,T,74,6.0NRT,287.6,15.7,N
-3.559,-50.937,312.5,1.5,1.2,2019-11-08,0210,T,85,6.0NRT,282,22.4,N
-3.561,-50.95,313.3,1.5,1.2,2019-11-08,0210,T,87,6.0NRT,278.2,23.9,N
-3.485,-50.982,309,1.5,1.2,2019-11-08,0210,T,76,6.0NRT,280.1,17.6,N
-3.17,-49.004,302.5,2.2,1.4,2019-11-08,0210,T,50,6.0NRT,289.8,12.8,N
-3.379,-50.491,303.3,1.7,1.3,2019-11-08,0210,T,54,6.0NRT,290.9,7.7,N
-3.306,-50.159,310,1.8,1.3,2019-11-08,0210,T,79,6.0NRT,290.4,18.8,N
-3.391,-50.727,313.5,1.6,1.2,2019-11-08,0210,T,87,6.0NRT,285.7,22,N
-3.393,-50.741,306,1.6,1.2,2019-11-08,0210,T,56,6.0NRT,285.9,11,N
-3.384,-50.757,303.7,1.6,1.2,2019-11-08,0210,T,13,6.0NRT,285.7,7.9,N
-3.603,-52.219,309.3,1.3,1.1,2019-11-08,0210,T,77,6.0NRT,285.8,11.1,N
-3.377,-50.786,313.6,1.6,1.2,2019-11-08,0210,T,87,6.0NRT,286.6,20.8,N
-3.375,-50.778,307.4,1.6,1.2,2019-11-08,0210,T,51,6.0NRT,286.2,12.3,N
-3.377,-50.792,308.4,1.6,1.2,2019-11-08,0210,T,60,6.0NRT,286.2,13.5,N
-3.71,-54.081,309.6,1,1,2019-11-08,0210,T,78,6.0NRT,285.2,9.5,N
-3.121,-50.151,312.6,1.8,1.3,2019-11-08,0210,T,85,6.0NRT,286.3,25.1,N
-3.123,-50.167,302.1,1.8,1.3,2019-11-08,0210,T,47,6.0NRT,285.5,9,N
-3.681,-54.26,305.9,1,1,2019-11-08,0210,T,66,6.0NRT,291,5.4,N
-3.682,-54.269,311,1,1,2019-11-08,0210,T,81,6.0NRT,291.1,8.9,N
-3.257,-51.385,325.7,1.4,1.2,2019-11-08,0210,T,100,6.0NRT,285.6,40.3,N
-3.259,-51.397,308.4,1.4,1.2,2019-11-08,0210,T,74,6.0NRT,283.9,14.2,N
-3.246,-51.386,343.3,1.4,1.2,2019-11-08,0210,T,100,6.0NRT,287.7,82.6,N
-3.248,-51.399,318.9,1.4,1.2,2019-11-08,0210,T,98,6.0NRT,285.6,27,N
-3.607,-53.94,302.6,1,1,2019-11-08,0210,T,45,6.0NRT,286.4,5.1,N
-3.646,-54.404,303.9,1,1,2019-11-08,0210,T,57,6.0NRT,287.6,4.4,N
-3.647,-54.413,308,1,1,2019-11-08,0210,T,73,6.0NRT,287.6,7.3,N
-3.522,-53.921,327.6,1,1,2019-11-08,0210,T,100,6.0NRT,292.7,26.3,N
-3.523,-53.93,336.5,1,1,2019-11-08,0210,T,100,6.0NRT,292.7,39,N
-4.307,-59.713,304,1.6,1.3,2019-11-08,0210,T,58,6.0NRT,288,8.7,N
-2.962,-50.548,301.6,1.7,1.3,2019-11-08,0210,T,43,6.0NRT,286.3,7.3,N
-3.36,-53.232,302.7,1.1,1.1,2019-11-08,0210,T,51,6.0NRT,271.5,7.6,N
-3.448,-53.985,303.9,1,1,2019-11-08,0210,T,38,6.0NRT,278.1,7,N
-3.45,-53.995,320.1,1,1,2019-11-08,0210,T,100,6.0NRT,276.2,20.3,N
-3.347,-53.345,306.5,1.1,1,2019-11-08,0210,T,60,6.0NRT,282,9.4,N
-3.282,-53.1,302.4,1.1,1.1,2019-11-08,0210,T,27,6.0NRT,279.8,6.4,N
-3.429,-54.177,307.8,1,1,2019-11-08,0210,T,72,6.0NRT,292,6.2,N
-2.645,-49.258,302,2.1,1.4,2019-11-08,0210,T,46,6.0NRT,289.1,10.6,N
-2.648,-49.276,303.7,2.1,1.4,2019-11-08,0210,T,57,6.0NRT,289.3,12.9,N
-2.316,-48.055,303.3,2.7,1.6,2019-11-08,0210,T,55,6.0NRT,290.1,17.8,N
-2.312,-48.063,305.2,2.7,1.6,2019-11-08,0210,T,63,6.0NRT,290.5,22.8,N
-2.838,-51.735,305.6,1.4,1.2,2019-11-08,0210,T,65,6.0NRT,291.5,8.2,N
-2.742,-51.928,304.9,1.3,1.1,2019-11-08,0210,T,62,6.0NRT,287.9,7.7,N
-2.744,-51.94,303.8,1.3,1.1,2019-11-08,0210,T,57,6.0NRT,288.1,6.6,N
-3.004,-54.354,308.7,1,1,2019-11-08,0210,T,75,6.0NRT,293,6.8,N
-2.597,-51.783,305.3,1.4,1.2,2019-11-08,0210,T,64,6.0NRT,291,7.8,N
-2.599,-51.795,307.5,1.4,1.2,2019-11-08,0210,T,72,6.0NRT,291,9.8,N
-2.602,-51.788,316.4,1.4,1.2,2019-11-08,0210,T,93,6.0NRT,291.8,20.2,N
-2.302,-49.785,306.8,2,1.4,2019-11-08,0210,T,69,6.0NRT,292.3,15,N
-2.912,-54.289,327.3,1,1,2019-11-08,0210,T,100,6.0NRT,293.7,24.6,N
-2.903,-54.291,312.2,1,1,2019-11-08,0210,T,84,6.0NRT,293.1,9.3,N
-2.836,-54.466,307.8,1,1,2019-11-08,0210,T,72,6.0NRT,293.5,5.7,N
-2.826,-54.458,345.6,1,1,2019-11-08,0210,T,100,6.0NRT,294.3,52.6,N
-2.827,-54.467,343.4,1,1,2019-11-08,0210,T,100,6.0NRT,293.8,48.4,N
-2.76,-54.191,305.2,1,1,2019-11-08,0210,T,63,6.0NRT,292.8,4.8,N
-2.792,-54.543,304.3,1,1,2019-11-08,0210,T,59,6.0NRT,290.9,4.4,N
-2.814,-54.826,311.1,1,1,2019-11-08,0210,T,82,6.0NRT,278.6,10.8,N
-2.815,-54.835,341.5,1,1,2019-11-08,0210,T,100,6.0NRT,279,47.3,N
-2.817,-54.844,319.2,1,1,2019-11-08,0210,T,98,6.0NRT,277.6,17.9,N
-2.607,-54.405,307.3,1,1,2019-11-08,0210,T,71,6.0NRT,293.2,6,N
-2.249,-53.65,300.1,1.1,1,2019-11-08,0210,T,18,6.0NRT,283.1,3.9,N
-1.617,-53.17,304.3,1.2,1.1,2019-11-08,0210,T,57,6.0NRT,293.3,4.8,N
-2.103,-56.873,311.7,1,1,2019-11-08,0210,T,83,6.0NRT,294.5,9.5,N
-1.556,-53.111,302.9,1.2,1.1,2019-11-08,0210,T,48,6.0NRT,292.1,4.2,N
-1.66,-54.215,302.6,1.1,1,2019-11-08,0210,T,46,6.0NRT,292,3.7,N
-1.912,-56.567,305.3,1,1,2019-11-08,0210,T,64,6.0NRT,293.6,4.7,N
-0.573,-48.567,307.2,2.6,1.6,2019-11-08,0210,T,71,6.0NRT,290.2,26.4,N
-1.302,-53.705,312.5,1.1,1.1,2019-11-08,0210,T,85,6.0NRT,289,11.9,N
-1.303,-53.715,305.6,1.1,1.1,2019-11-08,0210,T,64,6.0NRT,289.6,6.3,N
-1.245,-53.713,303,1.1,1.1,2019-11-08,0210,T,50,6.0NRT,282.7,5.5,N
-1.195,-53.666,310.3,1.1,1.1,2019-11-08,0210,T,80,6.0NRT,282.6,11.3,N
-1.254,-54.213,301.4,1.1,1,2019-11-08,0210,T,40,6.0NRT,290.3,3.4,N
-1.104,-53.504,308.9,1.1,1.1,2019-11-08,0210,T,76,6.0NRT,291,8.4,N
-1.099,-53.501,309.3,1.1,1.1,2019-11-08,0210,T,77,6.0NRT,290.1,10,N
-0.998,-53.208,303.8,1.2,1.1,2019-11-08,0210,T,57,6.0NRT,292.1,4.8,N
-0.915,-53.062,305,1.2,1.1,2019-11-08,0210,T,63,6.0NRT,292.7,6.4,N
-0.141,-51.34,304.1,1.6,1.3,2019-11-08,0210,T,54,6.0NRT,291.3,8.2,N
-0.14,-51.331,305.6,1.6,1.3,2019-11-08,0210,T,65,6.0NRT,291.4,10.2,N
5.124,-58.012,307,1,1,2019-11-08,0215,T,68,6.0NRT,292.7,5.7,N
9.233,-64.309,302.3,2.2,1.4,2019-11-08,0215,T,36,6.0NRT,275.7,24.7,N
9.391,-64.551,313.5,2.3,1.5,2019-11-08,0215,T,87,6.0NRT,285.3,37.2,N
9.393,-64.537,305.3,2.2,1.5,2019-11-08,0215,T,64,6.0NRT,284.5,19.5,N
9.389,-64.558,309.6,2.3,1.5,2019-11-08,0215,T,78,6.0NRT,285.6,28.1,N
-39.988,-64.772,324.5,1.6,1.3,2019-11-08,0340,T,100,6.0NRT,279.7,51.9,N
-39.992,-64.791,313.2,1.6,1.3,2019-11-08,0340,T,87,6.0NRT,279.8,30.1,N
-39.991,-64.777,333.4,1.6,1.3,2019-11-08,0340,T,100,6.0NRT,281.1,74.3,N
-38.471,-69.051,326.8,1.1,1,2019-11-08,0340,T,100,6.0NRT,283.4,32.6,N
-34.622,-70.97,324.9,1.1,1,2019-11-08,0340,T,100,6.0NRT,289.1,26.1,N
-34.613,-70.972,300.3,1.1,1,2019-11-08,0340,T,23,6.0NRT,287.9,5.4,N
-30.621,-71.294,323.6,1.1,1.1,2019-11-08,0340,T,100,6.0NRT,284.3,29,N
-30.623,-71.306,307.1,1.1,1.1,2019-11-08,0340,T,70,6.0NRT,283.7,12.5,N
-16.069,-30.05,308.4,1.2,1.1,2019-11-08,0335,A,60,6.0NRT,293.4,8.4,N
-16.376,-42.559,303.1,3.9,1.8,2019-11-08,0335,A,53,6.0NRT,290.7,39.9,N
-16.366,-42.562,307.4,3.9,1.8,2019-11-08,0335,A,71,6.0NRT,291.1,60.4,N
-18.078,-42.143,309,3.3,1.7,2019-11-08,0335,A,76,6.0NRT,290.5,46.9,N
-18.075,-42.147,308,3.3,1.7,2019-11-08,0335,A,73,6.0NRT,290.6,40,N
-5.281,-35.475,305.1,1.8,1.3,2019-11-08,0330,A,63,6.0NRT,293,13.1,N
-5.629,-37.628,320.2,2.6,1.6,2019-11-08,0330,A,100,6.0NRT,294.8,67.9,N
-7.896,-39.516,306.2,3.4,1.7,2019-11-08,0330,A,67,6.0NRT,293.5,31.4,N
-7.902,-39.486,307.5,3.4,1.7,2019-11-08,0330,A,72,6.0NRT,293.6,36.2,N
-2.01,-78.334,358.1,1.1,1,2019-11-08,0350,T,100,6.0NRT,283.6,98.8,N
-2.011,-78.344,329.7,1.1,1,2019-11-08,0350,T,100,6.0NRT,275.9,37.2,N
-2,-78.336,303.5,1.1,1,2019-11-08,0350,T,55,6.0NRT,273.1,11.1,N
-2.002,-78.346,301.8,1.1,1,2019-11-08,0350,T,44,6.0NRT,272.1,10.1,N
-1.494,-53.45,302.6,1,1,2019-11-08,0510,A,50,6.0NRT,291.2,3.8,N
-1.496,-53.441,302.4,1,1,2019-11-08,0510,A,49,6.0NRT,291.1,3.7,N
-2.648,-49.259,304.3,1.7,1.3,2019-11-08,0510,A,59,6.0NRT,290.4,12.1,N
-3.141,-47.233,311.7,2.5,1.5,2019-11-08,0510,A,83,6.0NRT,290.7,38.8,N
-3.144,-47.211,320.7,2.6,1.5,2019-11-08,0510,A,100,6.0NRT,290.9,69.7,N
-2.838,-51.731,302.7,1.2,1.1,2019-11-08,0510,A,51,6.0NRT,291.4,4.8,N
-3.904,-44.335,300.4,4.4,1.9,2019-11-08,0510,A,26,6.0NRT,288.8,27,N
-3.91,-44.295,301.1,4.5,1.9,2019-11-08,0510,A,37,6.0NRT,288.8,30.6,N
-2.932,-51.423,301.8,1.2,1.1,2019-11-08,0510,A,44,6.0NRT,291.5,4.6,N
-3.116,-50.157,307.3,1.5,1.2,2019-11-08,0510,A,71,6.0NRT,290.4,12.4,N
-3.118,-50.143,308.4,1.5,1.2,2019-11-08,0510,A,74,6.0NRT,291,13.8,N
-3.91,-44.303,303.3,4.5,1.9,2019-11-08,0510,A,54,6.0NRT,288.7,38.5,N
-2.718,-53.194,303.4,1,1,2019-11-08,0510,A,55,6.0NRT,293,4.5,N
-3.697,-46.93,305.7,2.8,1.6,2019-11-08,0510,A,53,6.0NRT,287.5,25.6,N
-3.687,-46.934,303.5,2.8,1.6,2019-11-08,0510,A,55,6.0NRT,287.4,21.1,N
-3.701,-46.936,305.6,2.8,1.6,2019-11-08,0510,A,65,6.0NRT,287.7,26.8,N
-2.676,-54.426,300.3,1,1,2019-11-08,0510,A,21,6.0NRT,287.5,3.3,N
-3.3,-50.153,306.7,1.5,1.2,2019-11-08,0510,A,69,6.0NRT,292.1,11.3,N
-3.155,-51.225,304.4,1.3,1.1,2019-11-08,0510,A,6,6.0NRT,290.9,5.6,N
-3.164,-51.238,318.8,1.3,1.1,2019-11-08,0510,A,98,6.0NRT,291.5,21.1,N
-3.786,-46.947,305.7,2.8,1.6,2019-11-08,0510,A,65,6.0NRT,287.2,27.7,N
-3.161,-51.245,308.8,1.3,1.1,2019-11-08,0510,A,72,6.0NRT,291,9.6,N
-3.163,-51.233,317.9,1.3,1.1,2019-11-08,0510,A,96,6.0NRT,291.7,20.2,N
-3.789,-46.955,303.8,2.8,1.6,2019-11-08,0510,A,57,6.0NRT,287.7,23.7,N
-3.246,-51.303,306.2,1.3,1.1,2019-11-08,0510,A,41,6.0NRT,291.3,7.9,N
-3.742,-47.888,321,2.3,1.5,2019-11-08,0510,A,100,6.0NRT,283,63.1,N
-3.246,-51.297,305.4,1.3,1.1,2019-11-08,0510,A,30,6.0NRT,291.7,7.2,N
-3.244,-51.389,305.9,1.3,1.1,2019-11-08,0510,A,37,6.0NRT,282.7,9.2,N
-3.245,-51.378,302.2,1.3,1.1,2019-11-08,0510,A,6,6.0NRT,281.4,6.3,N
-3.254,-51.391,309.8,1.3,1.1,2019-11-08,0510,A,78,6.0NRT,284.1,13.2,N
-3.255,-51.38,308.1,1.3,1.1,2019-11-08,0510,A,73,6.0NRT,282.4,11.6,N
-3.739,-47.893,301.4,2.3,1.5,2019-11-08,0510,A,21,6.0NRT,282.2,13.3,N
-3.752,-47.895,327.3,2.3,1.5,2019-11-08,0510,A,100,6.0NRT,285.5,85.3,N
-3.755,-47.874,306.2,2.3,1.5,2019-11-08,0510,A,65,6.0NRT,284.8,22.7,N
-2.828,-54.461,342.8,1,1,2019-11-08,0510,A,100,6.0NRT,292.5,47.1,N
-2.829,-54.452,310.1,1,1,2019-11-08,0510,A,79,6.0NRT,290.9,8.3,N
-3.766,-47.897,310.1,2.3,1.5,2019-11-08,0510,A,65,6.0NRT,287.3,29,N
-3.372,-50.783,311.9,1.4,1.2,2019-11-08,0510,A,84,6.0NRT,292.9,14.5,N
-3.373,-50.771,304.3,1.4,1.2,2019-11-08,0510,A,28,6.0NRT,292.7,6.2,N
-3.389,-50.735,304.5,1.4,1.2,2019-11-08,0510,A,44,6.0NRT,292.4,6.6,N
-3.391,-50.723,320.8,1.4,1.2,2019-11-08,0510,A,100,6.0NRT,292.8,27.9,N
-2.81,-54.833,316.2,1,1,2019-11-08,0510,A,93,6.0NRT,274.8,15.4,N
-2.811,-54.824,305.7,1,1,2019-11-08,0510,A,51,6.0NRT,272.5,7.6,N
-2.819,-54.834,307.8,1,1,2019-11-08,0510,A,73,6.0NRT,274.6,9.3,N
-2.908,-54.288,308.8,1,1,2019-11-08,0510,A,76,6.0NRT,282.5,9.3,N
-3.553,-50.386,305.8,1.5,1.2,2019-11-08,0510,A,66,6.0NRT,292.4,9.7,N
-3.477,-50.978,309.3,1.3,1.1,2019-11-08,0510,A,77,6.0NRT,292.8,12.1,N
-3.558,-50.378,303.9,1.5,1.2,2019-11-08,0510,A,57,6.0NRT,292.5,6.9,N
-3.553,-50.946,305.5,1.4,1.2,2019-11-08,0510,A,64,6.0NRT,292.5,8.7,N
-3.555,-50.933,305.9,1.4,1.2,2019-11-08,0510,A,66,6.0NRT,292.7,9.1,N
-3.731,-50.423,305.5,1.5,1.2,2019-11-08,0510,A,64,6.0NRT,292.8,9.3,N
